지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
266,광양시,2023-08-01,29.1,25.4,512,33.7,1330,,,,,,,7.5,70,830,3.5,70,833,1.8,1539,90,24,56,1615,75.3,29.8,1001.1,1012.6,855,1009.3,1707,1011,13.9,12,1200,3.51,26.35,,,,,,4.4,.1,35.5,23.6,32,31.9,30.9,29.7,,,,,,5.1,7.3,,,
266,광양시,2023-08-02,29.8,24.1,541,35.7,1459,,,,,,,5.2,250,2011,2.8,180,1620,1.2,1048,250,23.2,42,1503,70.1,28.5,998.6,1010.6,20,1006.3,1718,1008.4,13.9,12.4,1200,3.4,27.28,,,,,,3.6,0,38.7,23.2,32.8,32.5,31.6,30.2,,,,,,5.4,7.7,,,
266,광양시,2023-08-03,30,25.3,513,34.8,1433,,,,,,,5.3,140,1305,3.2,180,1541,1.2,1026,290,23.8,51,1538,71.4,29.6,997,1008,143,1005.5,1728,1006.8,13.9,11.6,1300,3.34,25.57,,,,,,2.8,.1,38.6,24.9,33.3,33.1,32.2,30.9,,,,,,5.3,7.5,,,
266,광양시,2023-08-04,29.5,25.2,555,34.6,1335,,,,,,,6,140,1349,3.7,140,1424,1.2,1067,200,23.6,52,1256,72.1,29.1,995.2,1006.7,721,1003.6,1725,1005,13.8,9.3,1200,3.62,22.25,,,,,,4.9,1.4,36.9,25.1,32.8,32.8,32.2,31,,,,,,4.6,6.6,,,
266,광양시,2023-08-05,30.6,24.9,527,36.1,1451,,,,,,,5.6,90,1324,3.2,90,1020,1.1,946,90,24.2,50,1622,70.4,30.1,990.7,1003.6,1,998,1815,1000.5,13.8,12,1200,3.43,26.46,,,,,,3,.4,36.9,24.6,34,33.8,32.8,31.4,,,,,,5.6,7.9,,,
266,광양시,2023-08-06,30.5,27.2,557,34.3,1409,,,,,,,8.1,90,736,4.3,90,925,2.1,1806,90,24.4,59,1430,70.8,30.6,988.4,999.7,1,996.4,1533,998.1,13.8,9.8,1400,3.05,22.69,,,,,,4.4,.9,37.4,26.1,34.1,33.8,33,31.9,,,,,,4.9,7,,,
266,광양시,2023-08-07,30.5,26.9,507,35.8,1251,,0,,0,,0,7.4,50,747,3.8,110,1644,1.9,1661,70,24.7,52,1252,72.5,31.2,989.2,1000.5,2358,996.9,1522,998.9,13.7,8.9,1200,3.44,22.71,,,,,,4.3,1.6,38.4,26.1,34.1,33.9,33.2,32,,,,,,5,7.2,,,
266,광양시,2023-08-08,30.7,27.3,443,35.2,1448,,,,,,,9.1,90,1245,4.7,90,958,2.9,2498,90,24.4,56,1551,69.6,30.6,991.2,1002.1,2209,999.8,1535,1000.9,13.7,11,1200,3.42,24.96,,,,,,3.8,.9,38,26.3,34.2,34.1,33.3,32.2,,,,,,5.5,7.8,,,
266,광양시,2023-08-09,26.1,24.5,2211,28.3,715,,3.4,1113,8.3,1042,37.3,15.7,70,1230,7.2,70,1151,4.1,3538,90,23.6,73,706,86.8,29.1,989.7,1001.9,6,995.7,2400,999.5,13.7,0,900,.48,3.54,,,,,,9,1.5,27.5,24.8,28.5,29.1,30.7,31.1,,,,,,.9,1.3,,,
266,광양시,2023-08-10,24,22.2,1131,26.1,1430,,6.3,813,18.2,801,76.6,13.9,290,1011,6.3,290,1311,3.4,2936,290,22.1,77,1338,89.9,26.7,983.3,1000.8,2356,986.1,838,993.2,13.7,.4,1400,1.61,6.99,,,,,,7.6,4,25.7,22.4,25.8,26.1,27.2,27.7,,,,,,1.8,2.6,,,
