지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
266,2022-01-01,.8,-4.8,720,6.7,1455,,,,,,,4,290,13,3.2,290,14,.7,599,-13.9,10,1412,33.3,2.1,1018.5,1032.5,1011,1027.8,1649,1029.7,9.9,8.4,1200,2.04,11.79,,,,,,3.5,.5,1.3,-10.4,1.6,2.3,2.4,4,,,,,,1.6,2.3,,
266,2022-01-02,3,-1.7,611,10.5,1316,,,,,,,7.1,290,1432,5.1,290,1437,1.6,1383,-6.7,31,1017,49.4,3.8,1015.4,1028.3,1,1024.9,1347,1026.5,9.9,8,1200,1.96,10.91,,,,,,1.1,.3,1.8,-9.3,2.3,2.8,2.9,3.9,,,,,,1.7,2.4,,
266,2022-01-03,2.7,-2,327,9.4,1416,,,,,,,6.1,270,1301,4.9,290,1334,1.5,1265,-9.5,6,1328,44.5,3.1,1014.4,1027.4,950,1022.6,1449,1025.5,9.9,8.3,1200,2.13,12.01,,,,,,.1,0,1.6,-9.7,2.3,2.9,3,4,,,,,,2.3,3.2,,
266,2022-01-04,4.1,.3,641,9.3,1324,,,,,,,5.9,290,1421,4.2,270,1430,1.5,1329,-8.9,13,1559,43.4,3.4,1015.1,1027.4,2342,1024.7,1407,1026.2,9.9,8.2,1200,1.96,11.36,,,,,,2.9,1.3,3.2,-7.4,3,3.4,3.4,4.1,,,,,,2.3,3.2,,
266,2022-01-05,4.1,.9,233,7.4,1350,,,,,,.3,4.9,70,1437,3,70,1443,.8,714,-7.7,17,1011,46.6,3.9,1015,1027.9,937,1023.9,1438,1026,9.9,0,1300,.83,3.68,,,,,,9.5,7.6,2.8,-4.7,3,3.4,3.6,4.5,,,,,,,,,
266,2022-01-06,4.9,0,2331,10.2,1257,,,,,,0,6.1,270,1428,5.4,290,1430,1.5,1303,-9.7,16,1418,38.6,3.2,1015.4,1029.4,2331,1024.4,113,1026.4,9.9,8.9,1200,2.1,12.15,,,,,,2.3,1.5,4.4,-8.2,4.6,5.1,5.2,5.2,,,,,,2.5,3.6,,
266,2022-01-07,3.3,-2.1,654,10.9,1508,,,,,,,3.5,230,1508,2.5,230,1520,.7,641,-12.9,14,1830,31,2.3,1017.6,1031.1,943,1026.4,1621,1028.7,9.9,8.6,1200,2.1,12.15,,,,,,0,0,1.9,-10.1,2.4,3.2,3.4,4.7,,,,,,2.2,3.1,,
266,2022-01-08,3.6,-2,558,11.1,1424,,,,,,,6.3,290,1719,4.7,290,1728,1.3,1090,-9.6,15,1436,40,3,1013.1,1027.4,1,1021.3,1601,1024.2,9.9,8.7,1200,2.08,12.19,,,,,,1.7,0,2.3,-9.9,2.7,3.2,3.2,4.2,,,,,,2,2.9,,
266,2022-01-09,4.6,.7,647,9.5,1447,,,,,,,2.1,290,1714,1.6,110,1358,.5,439,-2.6,46,1325,60.3,5.1,1011,1023.3,9,1019.8,1504,1022,10,6.9,1300,1.38,8.29,,,,,,4.1,0,2.8,-6.1,3,3.4,3.6,4.4,,,,,,1.1,1.6,,
266,2022-01-10,5,.4,746,11.5,1538,,,,,,,5.6,290,2356,3.9,290,2400,1,876,-3.6,32,1409,55.5,4.7,1008.6,1023.1,900,1015.7,2359,1019.5,10,7.5,1200,1.9,10.67,,,,,,4.9,1.5,4,-6.7,3.8,4.2,4.1,4.6,,,,,,2.1,3,,
266,2022-01-11,-.3,-4.2,2340,4.7,1,,,,,,,10.1,290,933,6.9,290,857,3.8,3290,-10.1,28,1149,49,3,1007.5,1023.6,2301,1014.2,403,1018.7,10,8.2,1200,2.18,12.71,,,,,,3,1.5,2.6,-7.8,3.1,4.1,4.3,5.1,,,,,,1.9,2.7,,
266,2022-01-12,-1.4,-5,355,3.6,1420,,,,,,,8.9,290,55,6.8,290,48,4,3487,-12.4,26,1306,44.1,2.4,1010.4,1023.4,726,1019.5,1455,1021.7,10,9.1,1200,2.21,12.94,,,,,,2.3,1.1,.4,-8.2,.9,1.8,2,4,,,,,,1.9,2.7,,
266,2022-01-13,-1.6,-3.4,311,2.3,1358,,,,,,,9.2,290,1616,6.7,290,1625,2.7,2312,-11.8,30,59,45.9,2.5,1009.4,1023.6,2356,1018.7,611,1020.6,10,8.2,1200,2.23,12.98,,,,,,4.9,2,1.1,-9.2,1.4,2.1,2.2,3.6,,,,,,1.9,2.8,,
266,2022-01-14,.6,-4.3,332,6.8,1439,,,,,,,6.7,270,319,5.4,290,2,1.8,1527,-13.9,17,1440,35.4,2.1,1013.6,1026.6,1029,1023,1419,1024.7,10.1,8.8,1200,2.21,12.95,,,,,,3.1,.9,1.2,-7.9,1.4,2,2.1,3.3,,,,,,1.8,2.5,,
266,2022-01-15,3.5,-1.4,747,10.8,1449,,,,,,,6.1,290,1449,4.8,290,1735,1,848,-8.6,23,1357,41.9,3.3,1012.1,1025.2,2111,1020.5,1433,1023.1,10.1,6.6,1300,2.11,11.55,,,,,,4.5,4.1,4.3,-8.3,3.4,3.5,3.5,3.6,,,,,,1.8,2.5,,
266,2022-01-16,2.7,-1.7,2329,7.4,1357,,,,,,,7.8,290,1759,5.8,290,1824,2.8,2421,-5.7,28,1518,55.5,4.1,1013.1,1026.5,2156,1022.1,452,1024.1,10.1,7.3,1300,2.01,10.49,,,,,,3.9,2.1,3.1,-5.7,3.3,3.7,3.8,4.2,,,,,,2.1,2.9,,
266,2022-01-17,1,-2.2,747,5.1,1441,,,,,,,8.6,290,2205,6.2,290,1356,3.1,2715,-8,41,1235,51,3.4,1015.2,1028.8,938,1024.6,1839,1026.4,10.1,7,1200,2.08,11.58,,,,,,6,1.6,2.5,-6.4,2.5,2.9,2.9,3.9,,,,,,2,2.8,,
266,2022-01-18,0,-4.8,650,5.8,1503,,,,,,,6.1,290,52,4.8,290,317,1.7,1503,-16.8,13,1450,27.9,1.7,1015.7,1029.7,1016,1024.9,1549,1026.9,10.1,9.1,1200,2.26,13.48,,,,,,0,0,1.1,-9.4,1.7,2.6,2.7,3.8,,,,,,2,2.8,,
266,2022-01-19,1.2,-4.8,750,8.2,1605,,,,,,,6,270,2018,4.4,290,2002,1.3,1086,-10.6,23,1304,42.9,2.8,1013,1026.8,906,1020.6,1631,1024.1,10.1,8.9,1200,2.05,12.09,,,,,,2.6,1.9,2.2,-11.8,2.1,2.4,2.4,3.5,,,,,,1.7,2.5,,
266,2022-01-20,.6,-4.7,630,6.1,1531,,,,,,,6.9,290,228,5.4,290,135,1.5,1286,-10.4,29,1349,44.5,2.8,1015.8,1029.5,2350,1022.8,1,1027,10.2,9.1,1200,2.23,13.15,,,,,,.5,0,1.8,-9.2,2.4,3.1,3.2,3.8,,,,,,1.7,2.4,,
266,2022-01-21,2.9,-2.6,737,9,1416,,,,,,,4,70,1107,2.7,70,1114,.7,602,-8,29,1033,45.1,3.4,1018.7,1031.8,953,1028.5,1441,1029.8,10.2,8.2,1200,2.2,12.31,,,,,,3.5,1,2.6,-9.7,2.6,3,3.1,3.7,,,,,,1.7,2.4,,
266,2022-01-22,6,1.1,303,11.6,1235,,,,,,,3.8,70,1102,2.8,70,1456,.8,679,-2.7,38,1447,54.4,5.1,1015.2,1029.1,1,1024.2,1447,1026.1,10.2,3.2,1200,1.85,9.3,,,,,,7.6,5.5,5.8,-3.9,5.3,5.1,5.1,4.5,,,,,,1.3,1.8,,
266,2022-01-23,8.6,4.5,425,12.1,1516,,,,,,,4.2,50,1108,3,50,1113,.9,748,.8,48,1408,58.6,6.5,1009.3,1024.2,1,1017.6,1607,1020.1,10.2,1.2,1100,1.13,6.82,,,,,,8.8,7.4,7.2,-.2,6.7,6.5,6.6,5.7,,,,,,1.4,2,,
